lon,lat
-4.533850,40.475873
-4.530938,40.478797
-4.528025,40.481720
-4.525113,40.484643
-4.522199,40.487566
-4.519285,40.490488
-4.516371,40.493411
-4.513457,40.496333
-4.510542,40.499255
-4.507626,40.502177
-4.504710,40.505099
-4.501794,40.508021
-4.498877,40.510942
-4.495960,40.513863
-4.493042,40.516785
-4.490124,40.519705
-4.487206,40.522626
-4.484287,40.525547
-4.481368,40.528467
-4.478448,40.531387
-4.475528,40.534307
-4.472607,40.537227
-4.469686,40.540147
-4.466765,40.543067
-4.463843,40.545986
-4.460921,40.548905
-4.457998,40.551824
-4.455075,40.554743
-4.452151,40.557661
-4.449227,40.560580
-4.446303,40.563498
-4.443378,40.566416
-4.440453,40.569334
-4.437527,40.572252
-4.434601,40.575170
-4.431674,40.578087
-4.428747,40.581004
-4.425820,40.583921
-4.422892,40.586838
-4.419964,40.589755
-4.417035,40.592671
-4.414106,40.595588
-4.411176,40.598504
-4.408246,40.601420
-4.405316,40.604336
-4.402385,40.607251
-4.399453,40.610167
-4.396522,40.613082
-4.393590,40.615997
-4.390657,40.618912
-4.387724,40.621827
-4.384791,40.624741
-4.381857,40.627656
-4.378922,40.630570
-4.375988,40.633484
-4.373053,40.636398
-4.370117,40.639312
-4.367181,40.642225
-4.364244,40.645139
-4.361308,40.648052
-4.358370,40.650965
-4.355433,40.653877
-4.352494,40.656790
-4.349556,40.659703
-4.346617,40.662615
-4.343677,40.665527
-4.340737,40.668439
-4.337797,40.671351
-4.334856,40.674262
-4.331915,40.677174
-4.328974,40.680085
-4.326032,40.682996
-4.323089,40.685907
-4.320146,40.688817
-4.317203,40.691728
-4.314259,40.694638
-4.311315,40.697548
-4.308370,40.700458
-4.305425,40.703368
-4.302480,40.706278
-4.299534,40.709187
-4.296588,40.712097
-4.293641,40.715006
-4.290694,40.717915
-4.287746,40.720823
-4.284798,40.723732
-4.281850,40.726640
-4.278901,40.729548
-4.275951,40.732456
-4.273002,40.735364
-4.270051,40.738272
-4.267101,40.741179
-4.264150,40.744087
-4.261198,40.746994
-4.258246,40.749901
-4.255294,40.752808
-4.252341,40.755714
-4.249388,40.758621
-4.246434,40.761527
-4.243480,40.764433
-4.240526,40.767339
-4.237571,40.770244
-4.234615,40.773150
-4.231660,40.776055
-4.228703,40.778961
-4.225747,40.781866
-4.222790,40.784770
-4.219832,40.787675
-4.216874,40.790579
-4.213916,40.793484
-4.210957,40.796388
-4.207998,40.799292
-4.205038,40.802195
-4.202078,40.805099
-4.199117,40.808002
-4.196156,40.810906
-4.193195,40.813809
-4.190233,40.816711
-4.187271,40.819614
-4.184308,40.822517
-4.181345,40.825419
-4.178381,40.828321
-4.175417,40.831223
-4.172453,40.834125
-4.169488,40.837026
-4.166523,40.839928
-4.163557,40.842829
-4.160591,40.845730
-4.157624,40.848631
-4.154657,40.851532
-4.151690,40.854432
-4.148722,40.857333
-4.145753,40.860233
-4.142785,40.863133
-4.139815,40.866033
-4.136846,40.868932
-4.133876,40.871832
-4.130905,40.874731
-4.127934,40.877630
-4.124963,40.880529
-4.121991,40.883428
-4.119019,40.886326
-4.116046,40.889225
-4.113073,40.892123
-4.110100,40.895021
-4.107126,40.897919
