lon,lat
-58.505308,-34.696574
-58.502961,-34.696574
-58.500614,-34.696574
-58.498267,-34.696574
-58.495920,-34.696574
-58.493573,-34.696574
-58.491226,-34.696574
-58.488878,-34.696574
-58.486531,-34.696574
-58.484183,-34.696574
-58.481835,-34.696574
-58.479487,-34.696574
-58.477138,-34.696574
-58.474790,-34.696574
-58.472441,-34.696574
-58.470093,-34.696574
-58.467744,-34.696574
-58.465395,-34.696574
-58.463045,-34.696574
-58.460696,-34.696574
-58.458346,-34.696574
-58.455997,-34.696574
-58.453647,-34.696574
-58.451297,-34.696574
-58.448947,-34.696574
-58.446596,-34.696574
-58.444246,-34.696574
-58.441895,-34.696574
-58.439544,-34.696574
-58.437193,-34.696574
-58.434842,-34.696574
-58.432491,-34.696574
-58.430140,-34.696574
-58.427788,-34.696574
-58.425436,-34.696574
-58.423084,-34.696574
-58.420732,-34.696574
-58.418380,-34.696574
-58.416028,-34.696574
-58.413675,-34.696574
-58.411322,-34.696574
-58.408970,-34.696574
-58.406617,-34.696574
-58.404263,-34.696574
-58.401910,-34.696574
-58.399557,-34.696574
-58.397203,-34.696574
-58.394849,-34.696574
-58.392495,-34.696574
-58.390141,-34.696574
-58.387787,-34.696574
-58.385433,-34.696574
-58.383078,-34.696574
-58.380723,-34.696574
-58.378368,-34.696574
-58.376013,-34.696574
-58.373658,-34.696574
-58.371303,-34.696574
-58.368947,-34.696574
-58.366592,-34.696574
-58.364236,-34.696574
-58.361880,-34.696574
-58.359524,-34.696574
-58.357167,-34.696574
-58.354811,-34.696574
-58.352454,-34.696574
-58.538143,-34.692082
-58.535799,-34.692082
-58.533454,-34.692082
-58.531109,-34.692082
-58.528765,-34.692082
-58.526420,-34.692082
-58.524074,-34.692082
-58.521729,-34.692082
-58.519384,-34.692082
-58.517038,-34.692082
-58.514692,-34.692082
-58.512346,-34.692082
-58.510000,-34.692082
-58.507654,-34.692082
-58.505308,-34.692082
-58.502961,-34.692082
-58.500614,-34.692082
-58.498267,-34.692082
-58.495920,-34.692082
-58.493573,-34.692082
-58.491226,-34.692082
-58.488878,-34.692082
-58.486531,-34.692082
-58.484183,-34.692082
-58.481835,-34.692082
-58.479487,-34.692082
-58.477138,-34.692082
-58.474790,-34.692082
-58.472441,-34.692082
-58.470093,-34.692082
-58.467744,-34.692082
-58.465395,-34.692082
-58.463045,-34.692082
-58.460696,-34.692082
-58.458346,-34.692082
-58.455997,-34.692082
-58.453647,-34.692082
-58.451297,-34.692082
-58.448947,-34.692082
-58.446596,-34.692082
-58.444246,-34.692082
-58.441895,-34.692082
-58.439544,-34.692082
-58.437193,-34.692082
-58.434842,-34.692082
-58.432491,-34.692082
-58.430140,-34.692082
-58.427788,-34.692082
-58.425436,-34.692082
-58.423084,-34.692082
-58.420732,-34.692082
-58.418380,-34.692082
-58.416028,-34.692082
-58.413675,-34.692082
-58.411322,-34.692082
-58.408970,-34.692082
-58.406617,-34.692082
-58.404263,-34.692082
-58.401910,-34.692082
-58.399557,-34.692082
-58.397203,-34.692082
-58.394849,-34.692082
-58.392495,-34.692082
-58.390141,-34.692082
-58.387787,-34.692082
-58.385433,-34.692082
-58.383078,-34.692082
-58.380723,-34.692082
-58.378368,-34.692082
-58.376013,-34.692082
-58.373658,-34.692082
-58.371303,-34.692082
-58.368947,-34.692082
-58.366592,-34.692082
-58.364236,-34.692082
-58.361880,-34.692082
-58.359524,-34.692082
-58.357167,-34.692082
-58.354811,-34.692082
-58.352454,-34.692082
-58.538143,-34.687591
-58.535799,-34.687591
-58.533454,-34.687591
-58.531109,-34.687591
-58.528765,-34.687591
-58.526420,-34.687591
-58.524074,-34.687591
-58.521729,-34.687591
-58.519384,-34.687591
-58.517038,-34.687591
-58.514692,-34.687591
-58.512346,-34.687591
-58.510000,-34.687591
-58.507654,-34.687591
-58.505308,-34.687591
-58.502961,-34.687591
-58.500614,-34.687591
-58.498267,-34.687591
-58.495920,-34.687591
-58.493573,-34.687591
-58.491226,-34.687591
-58.488878,-34.687591
-58.486531,-34.687591
-58.484183,-34.687591
-58.481835,-34.687591
-58.479487,-34.687591
-58.477138,-34.687591
-58.474790,-34.687591
-58.472441,-34.687591
-58.470093,-34.687591
-58.467744,-34.687591
-58.465395,-34.687591
-58.463045,-34.687591
