search_longitude,search_latitude,arrive,leave,search_method,timestamp,geometry,x,y,new_x,new_y,arrive_date,dayOfWeek
-58.4170088,-34.55803049999999,2021-01-28 12:15:59.209000+00:00,2021-01-28 13:15:59.209000+00:00,google,2021-01-28T15:10:17.385GMT-03:00,POINT (-58.4170088 -34.55803049999999),-58.4170088,-34.55803049999999,0.12113420000000019,0.1475265000000121,2021-01-28,3
-58.432450778782375,-34.589708748551864,2021-02-17 21:04:50.821000+00:00,2021-02-17 22:04:50.821000+00:00,searchInThisArea,2021-02-17T18:05:00.670-03:00,POINT (-58.43245077878237 -34.58970874855186),-58.432450778782375,-34.589708748551864,0.10569222121762323,0.11584825144813493,2021-02-17,2
-58.39637439697981,-34.611451245126794,2021-02-10 19:15:36.137000+00:00,2021-02-10 20:15:36.137000+00:00,searchInThisArea,2021-02-10T16:19:10.867-03:00,POINT (-58.39637439697981 -34.61145124512679),-58.39637439697981,-34.611451245126794,0.14176860302018923,0.09410575487320472,2021-02-10,2
-58.439632393419735,-34.598574614245365,2021-01-28 14:20:00+00:00,2021-01-28 15:45:00+00:00,searchInThisArea,2021-01-27T19:32:01.551-03:00,POINT (-58.43963239341974 -34.59857461424536),-58.439632393419735,-34.598574614245365,0.09851060658026256,0.10698238575463392,2021-01-28,3
-58.25704034417868,-34.7291280772909,2021-02-05 23:26:03.629000+00:00,2021-02-06 00:26:03.629000+00:00,searchInThisArea,2021-02-05T20:26:10.528-03:00,POINT (-58.25704034417868 -34.7291280772909),-58.25704034417868,-34.7291280772909,0.28110265582132143,-0.02357107729090302,2021-02-05,4
-58.38546749999999,-34.5987732,2021-01-28 12:14:19.849000+00:00,2021-01-28 13:14:19.849000+00:00,google,2021-01-28T09:14:46.675-03:00,POINT (-58.38546749999999 -34.5987732),-58.38546749999999,-34.5987732,0.15267550000000796,0.10678380000000232,2021-01-28,3
-58.43107614666223,-34.57482539192676,2021-02-10 18:48:52.459000+00:00,2021-02-10 19:48:52.459000+00:00,searchInThisArea,2021-02-10T15:49:29.182-03:00,POINT (-58.43107614666223 -34.57482539192676),-58.43107614666223,-34.57482539192676,0.10706685333776989,0.13073160807324058,2021-02-10,2
-58.42972764597847,-34.60257040484743,2020-09-21 03:00:00+00:00,2020-09-21 03:15:00+00:00,update_time_home,2020-09-20T21:13:27.630GMT-03:00,POINT (-58.42972764597847 -34.60257040484743),-58.42972764597847,-34.60257040484743,0.10841535402153113,0.10298659515257214,2020-09-21,0
-58.40286266058683,-34.59439475094002,2021-02-23 16:07:06.436000+00:00,2021-02-23 17:07:06.436000+00:00,searchInThisArea,2021-02-23T13:07:29.922-03:00,POINT (-58.40286266058683 -34.59439475094002),-58.40286266058683,-34.59439475094002,0.1352803394131712,0.11116224905997996,2021-02-23,1
-56.86591666191816,-37.112596535811754,2020-12-27 14:00:00+00:00,2021-01-03 07:00:00+00:00,this_area,2020-12-18T00:29:55.337GMT-03:00,POINT (-56.86591666191816 -37.11259653581175),-56.86591666191816,-37.112596535811754,1.6722263380818347,-2.407039535811755,2020-12-27,6
-58.3757467,-34.60928910000001,2020-11-24 09:30:34.787000+00:00,2020-11-24 10:30:34.787000+00:00,google,2020-11-24T12:33:17.570GMT-03:00,POINT (-58.3757467 -34.60928910000001),-58.3757467,-34.60928910000001,0.1623962999999975,0.09626789999998664,2020-11-24,1
-58.4252416,-34.5935388,2021-01-23 17:30:24.314000+00:00,2021-01-23 18:15:22.313000+00:00,update_time_home,2021-01-23T20:17:24.316GMT-03:00,POINT (-58.4252416 -34.5935388),-58.4252416,-34.5935388,0.11290139999999838,0.1120182000000014,2021-01-23,5
-58.4017324,-34.6215268,2020-10-04 22:15:41.817000+00:00,2020-10-04 23:15:41.817000+00:00,google,2020-10-05T01:12:26.797GMT-03:00,POINT (-58.4017324 -34.6215268),-58.4017324,-34.6215268,0.13641059999999783,0.08403020000000083,2020-10-04,6
-58.38267233222723,-34.59949363158451,2021-01-25 17:45:27.320000+00:00,2021-01-25 18:45:27.320000+00:00,searchInThisArea,2021-01-25T14:45:37.237-03:00,POINT (-58.38267233222723 -34.59949363158451),-58.38267233222723,-34.59949363158451,0.15547066777276797,0.1060633684154908,2021-01-25,0
